Название переменной;Значение переменной;Variable label;Статус переменной в RCVS-18;Статус переменной в RCVS-21;Статус переменной в RCVS-24
Q25_998;Использовалось ли что-либо в качестве оружия? Другое; Did they use something as a weapon? If they did, what was that? Other ;N;N;Y
Q25_999;Использовалось ли что-либо в качестве оружия? Затрудняюсь ответить; Did they use something as a weapon? If they did, what was that? Difficult to say ;N;N;Y
Q26;Был ли вам причинен какой-либо физический ущерб, телесные повреждения? Если да, то что именно?;Were you physically hurt? If you were, what was the severity?;Y;Y;F
Q30;Был ли у вас риск погибнуть в результате этого физического вреда?;Could you die due to the assault? ;Y;Y;QF
Q27;Нуждались ли вы в медицинской помощи?;Did you need medical help? ;Y;Y;F
Q28;Обращались ли вы в медицинское учреждение?;Did you go to the medical facility? ;Y;Y;F
Q29;Получили ли вы в результате этого случая инвалидность?;Were you permanently physically disabled due to the assault? ;Y;Y;F
Q31;Оказывали ли вы сопротивление преступнику?;Did you resist the criminal? ;Y;Y;F
Q33;Угрожали ли вам в этой ситуации физическим насилием?;Did they threaten to physically hurt you? ;Y;Y;F
Q34;Угрожали ли вам оружием?;Did they threaten you with a weapon? ;Y;Y;Y
Q32;Как вы думаете, могли быть у злоумышленника сексуальные мотивы?;Do you think the criminal had sexual motives? ;Y;Y;Q
Q36;Были ли Вы в той ситуации жертвой ДТП?;Were you a victim of a traffic accident in that case? ;Y;N;N
Q37;Были ли Вы в той ситуации жертвой чьей-то халатности?;Were you a victim of someone's negligence in that case? ;Y;N;N
Q6;В момент преступления Вы видели злоумышленника или разговаривали с ним?;Did you talk to the criminal during the crime? ;Y;Y;Q
Q611;В момент преступления вы видели злоумышленника?;Did you see to the criminal during the crime? ;N;N;Y
Q7;Злоумышленник был один?;Was the criminal alone? ;Y;Y;F
Q8;Злоумышленник был мужчина или женщина?;Was the criminal male or female? ;Y;Y;Y
Q9;Были ли вы знакомы со злоумышленником?;Did you meet the criminal before the crime? ;Y;Y;F
Q10;Кем злоумышленник Вам приходился?;What was the relationship between you and the criminal? ;Y;Y;OF
Q11;Можно ли сказать, что вы находились в зависимом положении от преступника (он был начальником, основным кормильцем или старшим родственником)?;Were you dependent on the criminal (he or she was a boss, a breadwinner, or a senior relative)? ;Y;Y;F
